EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,WorkLifeBalance,JobSatisfaction,HourlyRate,Attrition
1,25,Male,Sales,Sales Executive,3,3,4,45,Yes
2,32,Female,HR,HR Specialist,5,2,3,35,No
3,28,Male,IT,IT Support,2,4,5,50,No
4,45,Female,Sales,Sales Manager,10,3,4,60,Yes
5,38,Male,IT,Software Engineer,6,2,4,55,No
6,24,Female,HR,HR Assistant,1,4,5,30,No
7,50,Male,Marketing,Marketing Manager,12,2,3,70,Yes
8,26,Female,IT,Software Engineer,3,3,4,40,No
9,40,Male,Sales,Sales Executive,7,3,3,55,No
10,30,Female,IT,Network Engineer,4,3,4,50,Yes
11,22,Male,Marketing,Marketing Analyst,1,4,5,40,No
12,34,Female,HR,HR Specialist,5,2,3,40,Yes
13,41,Male,Sales,Sales Manager,11,2,3,65,Yes
14,29,Female,IT,IT Specialist,3,3,4,45,No
15,27,Male,Marketing,Marketing Specialist,2,4,5,40,No
16,37,Female,Sales,Sales Executive,6,3,4,50,Yes
17,48,Male,IT,IT Manager,10,2,3,60,No
18,34,Female,Marketing,Marketing Specialist,4,3,4,55,No
19,26,Male,IT,IT Specialist,3,4,5,50,No
20,32,Female,HR,HR Assistant,5,3,4,45,No
21,39,Male,IT,IT Support,7,2,3,60,Yes
22,28,Female,HR,HR Specialist,4,4,5,38,No
23,31,Male,Sales,Sales Executive,3,3,4,55,No
24,36,Female,Marketing,Marketing Analyst,5,2,3,50,Yes
25,33,Male,IT,Network Engineer,5,3,4,55,No
26,45,Female,HR,HR Specialist,7,2,3,60,Yes
27,29,Male,Marketing,Marketing Manager,3,4,5,60,No
28,41,Female,Sales,Sales Manager,10,2,3,55,Yes
29,26,Male,IT,IT Support,3,4,5,48,No
30,38,Female,Sales,Sales Executive,7,2,4,53,No
31,31,Male,Marketing,Marketing Analyst,6,3,5,45,Yes
32,27,Female,HR,HR Assistant,2,4,5,40,No
33,34,Male,IT,Software Engineer,5,2,3,55,Yes
34,42,Female,Marketing,Marketing Manager,8,2,4,70,No
35,40,Male,HR,HR Specialist,9,3,4,60,Yes
36,29,Female,Sales,Sales Manager,4,4,5,50,No
37,31,Male,IT,IT Specialist,6,3,4,55,Yes
38,36,Female,Marketing,Marketing Specialist,7,2,3,60,No
39,33,Male,IT,Software Engineer,4,3,5,50,No
40,44,Female,HR,HR Assistant,8,4,5,45,Yes
41,29,Male,Sales,Sales Executive,3,3,4,55,No
42,38,Female,IT,IT Manager,9,2,3,65,Yes
43,30,Male,Marketing,Marketing Specialist,4,3,4,50,No
44,27,Female,HR,HR Specialist,3,4,5,40,No
45,35,Male,Sales,Sales Manager,7,2,3,60,Yes
46,31,Female,IT,IT Specialist,6,4,5,50,No
47,28,Male,Marketing,Marketing Manager,4,3,4,55,Yes
48,33,Female,HR,HR Assistant,5,3,4,48,No
49,40,Male,Sales,Sales Executive,10,2,4,60,Yes
50,29,Female,IT,IT Support,3,4,5,45,No
