ID,Text,Label
1,"""NASA announces the discovery of life on Mars.""",Fake
2,"""Scientists have developed a new cancer treatment that could save millions of lives.""",Real
3,"""The government is secretly monitoring your phone calls without permission.""",Fake
4,"""Local company wins prestigious business award for innovation.""",Real
5,"""The Earth is flat, and all evidence to the contrary has been fabricated by scientists.""",Fake
6,"""A new study finds that exercise is essential for maintaining mental health.""",Real
7,"""Shocking report claims that humans can live forever through new DNA manipulation.""",Fake
8,"""Researchers discover a new planet with conditions similar to Earth.""",Real
9,"""Aliens have contacted Earth, and a meeting with world leaders is scheduled.""",Fake
10,"""New data suggests that renewable energy sources are more cost-effective than fossil fuels.""",Real
11,"""A giant asteroid is heading towards Earth, and scientists are working on a solution.""",Fake
12,"""Breaking: World leaders sign agreement to combat climate change effectively.""",Real
13,"""Social media platforms are secretly controlling people's opinions using advanced algorithms.""",Fake
14,"""A new study shows that meditation improves emotional well-being and cognitive function.""",Real
15,"""Cryptocurrency is a government conspiracy to control global finance.""",Fake
16,"""Scientists warn that plastic pollution is causing irreversible damage to ocean ecosystems.""",Real
17,"""Elon Musk announces plans to build a colony on the Moon in the next 5 years.""",Real
18,"""The moon landing was staged in a Hollywood studio to fake the space race.""",Fake
19,"""Medical experts have confirmed the positive effects of eating a plant-based diet.""",Real
20,"""A famous celebrity is reportedly living on a secret island with no internet connection.""",Fake
